"","index","Job.Title","Salary.Estimate","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"96",178,"Data Scientist","$56K-$97K (Glassdoor est.)",3.5,"Buckman
3.5","Memphis, TN","Memphis, TN","1001 to 5000 employees",1945,"Company - Private","Chemical Manufacturing","Manufacturing","$500 million to $1 billion (USD)","-1"
"97",179,"Machine Learning Engineer","$56K-$97K (Glassdoor est.)",3.6,"Buckman
3.5","Memphis, TN","Arlington, VA","501 to 1000 employees",1967,"Nonprofit Organization","Federal Agencies","Government","$50 to $100 million (USD)","-1"
"98",183,"Data Scientist","$56K-$97K (Glassdoor est.)",3.3,"BWX Technologies
3.3","Oak Ridge, TN","Lynchburg, VA","5001 to 10000 employees",1850,"Company - Public","Aerospace & Defense","Aerospace & Defense","$500 million to $1 billion (USD)","-1"
"99",191,"Data Engineer","$56K-$97K (Glassdoor est.)",4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA","51 to 200 employees",2011,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"100",193,"Data Scientist","$56K-$97K (Glassdoor est.)",5,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ","Unknown",-1,"Company - Public","-1","-1","Unknown / Non-Applicable","-1"
"101",195,"Data Scientist","$56K-$97K (Glassdoor est.)",4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA","51 to 200 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"102",200,"Data Scientist","$79K-$106K (Glassdoor est.)",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 to 200 employees",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","-1"
"103",201,"Data Scientist","$79K-$106K (Glassdoor est.)",4.1,"Coverent
4.1","McLean, VA","McLean, VA","51 to 200 employees",2008,"Company - Private","Consulting","Business Services","$10 to $25 million (USD)","-1"
"104",202,"Machine Learning Engineer","$79K-$106K (Glassdoor est.)",3.7,"Mteq
3.7","Fort Belvoir, VA","Lorton, VA","501 to 1000 employees",1954,"Company - Public","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","Harris, Fibertek"
"105",203,"Data Engineer","$79K-$106K (Glassdoor est.)",4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA","51 to 200 employees",2008,"Company - Private","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)","-1"
"106",205,"Data Engineer","$79K-$106K (Glassdoor est.)",3.6,"Alion Science & Technology
3.6","Linthicum Heights, MD","Mc Lean, VA","1001 to 5000 employees",2001,"Company - Private","Research & Development","Business Services","$1 to $2 billion (USD)","-1"
"107",210,"Data Scientist","$79K-$106K (Glassdoor est.)",3.4,"Dice.com
3.4","Newton, MA","Denver, CO","201 to 500 employees",1990,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)","Monster Worldwide, CareerBuilder, Craigslist"
"108",211,"Senior Data Scientist","$79K-$106K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO","5001 to 10000 employees",-1,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","-1"
"109",223,"Data Engineer","$71K-$123K (Glassdoor est.)",4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC","201 to 500 employees",1998,"Company - Private","Venture Capital & Private Equity","Finance","$50 to $100 million (USD)","-1"
"110",225,"Data Scientist","$71K-$123K (Glassdoor est.)",4.5,"Global Data Management Inc
4.5","Hartford, CT","Woodbridge, NJ","51 to 200 employees",2008,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","-1"
"111",226,"Data Scientist","$71K-$123K (Glassdoor est.)",3,"Photon Infotech
3.0","Chicago, IL","Chennai, India","1001 to 5000 employees",1999,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","-1"
"112",227,"Data Scientist","$71K-$123K (Glassdoor est.)",5,"REE
5.0","United States","Tel Aviv-Yafo, Israel","51 to 200 employees",2018,"Company - Private","Transportation Equipment Manufacturing","Manufacturing","Unknown / Non-Applicable","-1"
"113",228,"Machine Learning Engineer","$71K-$123K (Glassdoor est.)",3.6,"Riverside Research Institute
3.6","Beavercreek, OH","Arlington, VA","501 to 1000 employees",1967,"Nonprofit Organization","Federal Agencies","Government","$50 to $100 million (USD)","-1"
"114",230,"Data Scientist","$71K-$123K (Glassdoor est.)",-1,"Encode, Inc.","Norfolk, VA","Manalapan, NJ","1 to 50 employees",-1,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","-1"
"115",232,"Data Scientist","$71K-$123K (Glassdoor est.)",3.3,"BWX Technologies
3.3","Oak Ridge, TN","Lynchburg, VA","5001 to 10000 employees",1850,"Company - Public","Aerospace & Defense","Aerospace & Defense","$500 million to $1 billion (USD)","-1"
"116",235,"Data Scientist","$71K-$123K (Glassdoor est.)",3.3,"II-VI Incorporated
3.3","Champaign, IL","Saxonburg, PA","10000+ employees",1971,"Company - Public","Telecommunications Manufacturing","Telecommunications","$1 to $2 billion (USD)","Lumentum Operations, Keysight Technologies, O-Net Technologies"
"117",236,"Data Scientist","$71K-$123K (Glassdoor est.)",4.6,"Surya Systems
4.6","San Francisco, CA","Bristol, PA","1 to 50 employees",-1,"Company - Private","Computer Hardware & Software","Information Technology","Less than $1 million (USD)","-1"
"118",237,"Data Scientist","$71K-$123K (Glassdoor est.)",3.8,"PayPal
3.8","Texas","San Jose, CA","10000+ employees",1998,"Company - Public","Internet","Information Technology","$10+ billion (USD)","Square, Amazon, Apple"
"119",239,"Data Scientist","$71K-$123K (Glassdoor est.)",3.9,"Predictive Research Inc
3.9","Plano, TX","Bangalore, India","1 to 50 employees",-1,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","-1"
"120",240,"Data Scientist","$90K-$124K (Glassdoor est.)",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 to 200 employees",2003,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","-1"
"121",243,"Data Scientist","$90K-$124K (Glassdoor est.)",3.6,"Gigya
3.6","Palo Alto, CA","Mountain View, CA","201 to 500 employees",2006,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","-1"
"122",245,"Data Scientist","$90K-$124K (Glassdoor est.)",3.7,"Sanofi
3.7","Cambridge, MA","Paris, France","10000+ employees",1973,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Pfizer, GlaxoSmithKline"
"123",246,"Data Scientist","$90K-$124K (Glassdoor est.)",3.7,"XPO Logistics
3.7","Lebanon, IN","Greenwich, CT","10000+ employees",2011,"Company - Public","Transportation Management","Transportation & Logistics","$10+ billion (USD)","DHL Supply Chain, UPS, FedEx"
"124",247,"Data Scientist","$90K-$124K (Glassdoor est.)",3.9,"Trace Data
3.9","Oakland, CA","Santa Ana, CA","51 to 200 employees",2000,"Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","-1"
"125",248,"Data Scientist","$90K-$124K (Glassdoor est.)",4.3,"Descript
4.3","San Francisco, CA","Houston, TX","1 to 50 employees",-1,"Company - Private","-1","-1","Less than $1 million (USD)","-1"
"126",251,"Data Scientist","$90K-$124K (Glassdoor est.)",4,"Better Hire
4.0","Birmingham, AL","Birmingham, AL","1 to 50 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"127",252,"Data Scientist","$90K-$124K (Glassdoor est.)",3.3,"Parker Hannifin
3.3","Cleveland, OH","Cleveland, OH","10000+ employees",1917,"Company - Public","Industrial Manufacturing","Manufacturing","$10+ billion (USD)","Eaton, SMC Corporation, Bosch Rexroth"
"128",253,"Data Scientist","$90K-$124K (Glassdoor est.)",4.1,"Gallup
4.1","New York, NY","Washington, DC","1001 to 5000 employees",1935,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Advisory Board, Booz Allen Hamilton, McKinsey & Company"
"129",254,"Data Scientist","$90K-$124K (Glassdoor est.)",3.3,"Insider Inc
3.3","New York, NY","New York, NY","201 to 500 employees",2007,"Company - Private","News Outlet","Media","$50 to $100 million (USD)","-1"
"130",255,"Data Scientist","$90K-$124K (Glassdoor est.)",3.9,"Rapid Value Solutions
3.9","San Francisco, CA","Pleasanton, CA","201 to 500 employees",2009,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"131",258,"Data Scientist","$90K-$124K (Glassdoor est.)",5,"The Drive Media, Inc.
5.0","New York, NY","-1","Unknown",-1,"Unknown","-1","-1","Unknown / Non-Applicable","-1"
"132",266,"Data Scientist","$91K-$150K (Glassdoor est.)",3.2,"US Pharmacopeia
3.2","Rockville, MD","Rockville, MD","1001 to 5000 employees",1820,"Nonprofit Organization","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","-1"
"133",267,"Data Scientist","$91K-$150K (Glassdoor est.)",4.6,"Itlize Global
4.6","Piscataway, NJ","Piscataway, NJ","201 to 500 employees",2010,"Company - Private","IT Services","Information Technology","$10 to $25 million (USD)","-1"
"134",268,"Data Scientist","$91K-$150K (Glassdoor est.)",3.5,"eBay
3.5","San Jose, CA","San Jose, CA","10000+ employees",1995,"Company - Public","Internet","Information Technology","$10+ billion (USD)","Amazon, Apple"
"135",270,"Data Engineer","$91K-$150K (Glassdoor est.)",4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA","51 to 200 employees",2011,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"136",272,"Data Scientist","$91K-$150K (Glassdoor est.)",3.5,"Comcast
3.5","New York, NY","Philadelphia, PA","10000+ employees",1963,"Company - Public","-1","-1","$10+ billion (USD)","AT&T, Verizon"
"137",273,"Data Scientist","$91K-$150K (Glassdoor est.)",3.2,"Metronome, LLC
3.2","Vienna, VA","Fairfax, VA","51 to 200 employees",2011,"Company - Private","IT Services","Information Technology","$10 to $25 million (USD)","-1"
"138",274,"Data Scientist","$91K-$150K (Glassdoor est.)",5,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ","Unknown",-1,"Company - Public","-1","-1","Unknown / Non-Applicable","-1"
"139",275,"Data Scientist","$91K-$150K (Glassdoor est.)",4.7,"Lawrence Livermore National Lab
4.7","Livermore, CA","Livermore, CA","1001 to 5000 employees",1952,"Government","Federal Agencies","Government","$1 to $2 billion (USD)","Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories"
"140",277,"Data Scientist","$91K-$150K (Glassdoor est.)",3.6,"Jacobs
3.6","Herndon, VA","Dallas, TX","10000+ employees",1947,"Company - Public","Architectural & Engineering Services","Business Services","$10+ billion (USD)","Fluor, Bechtel, AECOM"
"141",278,"Data Scientist","$91K-$150K (Glassdoor est.)",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA","201 to 500 employees",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1"
"142",279,"Data Scientist","$91K-$150K (Glassdoor est.)",3.3,"Underwriters Laboratories
3.3","Northbrook, IL","Northbrook, IL","10000+ employees",1894,"Company - Private","Consulting","Business Services","$2 to $5 billion (USD)","Intertek, SGS, Bureau Veritas"
"143",280,"Data Scientist","$91K-$150K (Glassdoor est.)",3.7,"Altus Group
3.7","Irvine, CA","Toronto, Canada","1001 to 5000 employees",2005,"Company - Public","Real Estate","Real Estate","$100 to $500 million (USD)","-1"
"144",281,"Data Scientist","$91K-$150K (Glassdoor est.)",5,"Jobot
5.0","Irvine, CA","Irvine, CA","51 to 200 employees",2018,"Company - Private","Staffing & Outsourcing","Business Services","$25 to $50 million (USD)","-1"
"145",282,"Data Scientist","$91K-$150K (Glassdoor est.)",-1,"Trovetechs Inc","San Francisco, CA","Hillsborough, NJ","Unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"146",284,"Data Scientist","$141K-$225K (Glassdoor est.)",5,"Cohere Health
5.0","Boston, MA","Boston, MA","1 to 50 employees",2019,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"147",285,"Data Scientist","$141K-$225K (Glassdoor est.)",-1,"Trovetechs Inc","San Francisco, CA","Hillsborough, NJ","Unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"148",287,"Data Scientist","$141K-$225K (Glassdoor est.)",4.2,"Oshkosh Corporation
4.2","Oshkosh, WI","Oshkosh, WI","10000+ employees",1917,"Company - Public","Transportation Equipment Manufacturing","Manufacturing","$5 to $10 billion (USD)","Lockheed Martin, Caterpillar, John Deere"
"149",288,"Data Scientist","$141K-$225K (Glassdoor est.)",4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA","51 to 200 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"150",289,"Data Scientist","$141K-$225K (Glassdoor est.)",3.4,"Mackin
3.4","Menlo Park, CA","Pittsburgh, PA","51 to 200 employees",1960,"Company - Private","Architectural & Engineering Services","Business Services","$10 to $25 million (USD)","-1"
"151",290,"Data Scientist","$141K-$225K (Glassdoor est.)",-1,"PETADATA","San Francisco, CA","Fremont, CA","51 to 200 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"152",291,"Data Scientist","$141K-$225K (Glassdoor est.)",4.4,"VBeyond Corporation
4.4","Dallas, TX","Hillsborough, NJ","201 to 500 employees",2006,"Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)","-1"
"153",293,"Data Scientist","$141K-$225K (Glassdoor est.)",3.7,"Take-Two
3.7","San Francisco, CA","New York, NY","1001 to 5000 employees",1993,"Company - Public","Video Games","Media","$1 to $2 billion (USD)","Activision Blizzard, Electronic Arts"
"154",294,"Data Scientist","$141K-$225K (Glassdoor est.)",3.7,"Colony Brands
3.7","Monroe, WI","Monroe, WI","501 to 1000 employees",-1,"Company - Private","Food & Beverage Stores","Retail","$100 to $500 million (USD)","-1"
"155",295,"Data Scientist","$141K-$225K (Glassdoor est.)",4.1,"Capio Group
4.1","Sacramento, CA","Goteborg, Sweden","10000+ employees",-1,"Hospital","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1"
"156",296,"Data Scientist","$141K-$225K (Glassdoor est.)",3.4,"SleePare
3.4","New York, NY","New York, NY","1 to 50 employees",2017,"Company - Private","Other Retail Stores","Retail","Unknown / Non-Applicable","-1"
"157",297,"Data Analyst","$141K-$225K (Glassdoor est.)",4.5,"ShorePoint
4.5","Reston, VA","Washington, DC","1 to 50 employees",2017,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"158",298,"Data Scientist","$141K-$225K (Glassdoor est.)",3.5,"Dolphin
3.5","New York, NY","Lake Buena Vista, FL","1001 to 5000 employees",1990,"Company - Private","Hotels, Motels, & Resorts","Travel & Tourism","Unknown / Non-Applicable","-1"
"159",299,"Data Scientist","$141K-$225K (Glassdoor est.)",3.6,"TE Connectivity
3.6","Hampton, VA","Schaffhausen, Switzerland","10000+ employees",2007,"Company - Public","Electrical & Electronic Manufacturing","Manufacturing","$10+ billion (USD)","-1"
"160",300,"Data Scientist","$141K-$225K (Glassdoor est.)",3.2,"State of Virginia
3.2","Richmond, VA","Richmond, VA","10000+ employees",1788,"Government","State & Regional Agencies","Government","$10+ billion (USD)","-1"
"161",301,"Data Scientist","$141K-$225K (Glassdoor est.)",3.7,"TA Digital
3.7","New York, NY","Newark, CA","501 to 1000 employees",2000,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","-1"
"162",302,"Data Scientist","$141K-$225K (Glassdoor est.)",4,"Market America Inc
4.0","Monterey, CA","Greensboro, NC","501 to 1000 employees",1992,"Company - Private","Other Retail Stores","Retail","$100 to $500 million (USD)","-1"
"163",303,"Data Scientist","$145K-$225K(Employer est.)",3.2,"Triplebyte
3.2","Chicago, IL","San Francisco, CA","51 to 200 employees",2015,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1"
"164",304,"Data Scientist","$145K-$225K(Employer est.)",4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA","51 to 200 employees",2005,"Company - Private","Federal Agencies","Government","$25 to $50 million (USD)","-1"
"165",306,"Data Scientist","$145K-$225K(Employer est.)",3.9,"ALTA IT Services
3.9","Woodlawn, MD","Rockville, MD","201 to 500 employees",2004,"Company - Private","IT Services","Information Technology","$10 to $25 million (USD)","-1"
"166",307,"Data Scientist","$145K-$225K(Employer est.)",3.2,"Kollasoft Inc.
3.2","United States","Scottsdale, AZ","1 to 50 employees",-1,"Company - Private","IT Services","Information Technology","$1 to $5 million (USD)","-1"
"167",308,"Data Scientist","$145K-$225K(Employer est.)",5,"Kollasoft Inc.
3.2","New York, NY","Irving, TX","Unknown",-1,"Company - Public","-1","-1","Unknown / Non-Applicable","-1"
"168",309,"Data Scientist","$145K-$225K(Employer est.)",3.4,"ASRC Federal Holding Company
3.4","Reston, VA","Beltsville, MD","5001 to 10000 employees",2003,"Company - Private","Aerospace & Defense","Aerospace & Defense","$500 million to $1 billion (USD)","-1"
"169",310,"Data Scientist","$145K-$225K(Employer est.)",4.4,"Adwait Algorithm
4.4","New York, NY","Houston, TX","51 to 200 employees",2015,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"170",313,"Data Scientist","$145K-$225K(Employer est.)",3.5,"Cambridge FX
3.5","Atlanta, GA","Toronto, Canada","201 to 500 employees",1992,"Company - Public","Financial Transaction Processing","Finance","$100 to $500 million (USD)","-1"
"171",314,"Senior Data Scientist","$145K-$225K(Employer est.)",3.8,"Metromile
3.8","San Francisco, CA","San Francisco, CA","201 to 500 employees",2011,"Company - Private","Insurance Carriers","Insurance","Unknown / Non-Applicable","-1"
"172",315,"Data Scientist","$145K-$225K(Employer est.)",3.9,"Criteo
3.9","Ann Arbor, MI","Paris, France","1001 to 5000 employees",2005,"Company - Public","Internet","Information Technology","$2 to $5 billion (USD)","MediaMath, Conversant, AppNexus"
"173",316,"Data Scientist","$145K-$225K(Employer est.)",3.4,"Advance Sourcing Concepts
3.4","Pittsburgh, PA","Pittsburgh, PA","51 to 200 employees",-1,"Company - Private","-1","-1","$1 to $5 million (USD)","-1"
"174",317,"Data Scientist","$145K-$225K(Employer est.)",3.8,"Enterprise Solutions Inc
3.8","New York, NY","Naperville, IL","51 to 200 employees",2000,"Company - Private","Staffing & Outsourcing","Business Services","$25 to $50 million (USD)","-1"
"175",319,"Data Scientist","$145K-$225K(Employer est.)",-1,"Microagility","New York, NY","Princeton, NJ","1 to 50 employees",-1,"Company - Private","Consulting","Business Services","$1 to $5 million (USD)","-1"
"176",320,"Data Scientist","$145K-$225K(Employer est.)",4.6,"Conch Technologies, Inc
4.6","Concord, CA","Memphis, TN","51 to 200 employees",-1,"Company - Private","Consulting","Business Services","$5 to $10 million (USD)","-1"
"177",322,"Data Scientist","$145K-$225K(Employer est.)",-1,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH","1 to 50 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"178",323,"Data Scientist","$79K-$147K (Glassdoor est.)",3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore","1001 to 5000 employees",2016,"Government","Federal Agencies","Government","Unknown / Non-Applicable","-1"
"179",324,"Data Scientist","$79K-$147K (Glassdoor est.)",3.3,"Intellectual Ventures
3.3","Bellevue, WA","Bellevue, WA","501 to 1000 employees",2000,"Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","-1"
"180",325,"Data Engineer","$79K-$147K (Glassdoor est.)",4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA","51 to 200 employees",2008,"Company - Private","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)","-1"
"181",326,"Data Scientist","$79K-$147K (Glassdoor est.)",3.7,"22nd Century Technologies
3.7","Oakland, CA","Somerset, NJ","1001 to 5000 employees",1997,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1"
"182",327,"Data Scientist","$79K-$147K (Glassdoor est.)",3.3,"Huxley
3.3","San Francisco, CA","London, United Kingdom","201 to 500 employees",1995,"Company - Private","Staffing & Outsourcing","Business Services","$25 to $50 million (USD)","-1"
"183",328,"Data Scientist","$79K-$147K (Glassdoor est.)",3.4,"FM Systems
3.4","Boston, MA","Raleigh, NC","51 to 200 employees",1984,"Company - Private","Computer Hardware & Software","Information Technology","$5 to $10 million (USD)","Archibus, iOffice, Planon"
"184",329,"Data Scientist","$79K-$147K (Glassdoor est.)",-1,"B4Corp","Reston, VA","Leesburg, VA","51 to 200 employees",-1,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"185",330,"Machine Learning Engineer","$79K-$147K (Glassdoor est.)",3.7,"Mteq
3.7","Fort Belvoir, VA","Lorton, VA","501 to 1000 employees",1954,"Company - Public","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","Harris, Fibertek"
"186",333,"Data Scientist","$79K-$147K (Glassdoor est.)",5,"SSATI
5.0","McLean, VA","Annapolis Junction, MD","1 to 50 employees",2003,"Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","-1"
"187",335,"Data Scientist","$79K-$147K (Glassdoor est.)",3.4,"Solving IT International Inc
3.4","Chicago, IL","Chicago, IL","501 to 1000 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"188",336,"Data Scientist","$79K-$147K (Glassdoor est.)",3.3,"The Davey Tree Expert Company
3.3","Kent, OH","Kent, OH","10000+ employees",1880,"Self-employed","Timber Operations","Agriculture & Forestry","$1 to $2 billion (USD)","ACRT Services, Bartlett Tree Experts"
"189",337,"Data Scientist","$79K-$147K (Glassdoor est.)",4.6,"Centauri
4.6","Reston, VA","Chantilly, VA","501 to 1000 employees",1999,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","TASC, Vencore, Booz Allen Hamilton"
"190",338,"Data Scientist","$79K-$147K (Glassdoor est.)",-1,"Stride Search","San Francisco, CA","Westlake Village, CA","1 to 50 employees",-1,"Company - Private","-1","-1","Less than $1 million (USD)","-1"
"191",339,"Machine Learning Engineer","$79K-$147K (Glassdoor est.)",2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 to 1000 employees",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable","-1"
"192",341,"Data Scientist","$79K-$147K (Glassdoor est.)",4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ","1 to 50 employees",2011,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"193",343,"Data Scientist","$122K-$146K (Glassdoor est.)",4,"Netskope
4.0","Santa Clara, CA","Santa Clara, CA","501 to 1000 employees",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Skyhigh Networks, Zscaler, NortonLifeLock"
"194",344,"Data Scientist","$122K-$146K (Glassdoor est.)",4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA","51 to 200 employees",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","-1"
"195",346,"Data Scientist","$122K-$146K (Glassdoor est.)",3,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE","1001 to 5000 employees",1887,"Company - Private","Insurance Agencies & Brokerages","Insurance","$2 to $5 billion (USD)","-1"
"196",348,"Data Scientist","$122K-$146K (Glassdoor est.)",2.9,"Shimento, Inc.
2.9","Santa Clara, CA","Benicia, CA","1 to 50 employees",-1,"Company - Private","-1","-1","$1 to $5 million (USD)","-1"
"197",349,"Data Scientist","$122K-$146K (Glassdoor est.)",5,"Averity
5.0","New York, NY","New York, NY","1 to 50 employees",2014,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","-1"
