"","index","Job.Title","Salary.Estimate","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"305",503,"Data Scientist","$95K-$119K (Glassdoor est.)",4,"Two95 International Inc.
4.0","Chicago, IL","Cherry Hill, NJ","1 to 50 employees",-1,"Company - Private","Staffing & Outsourcing","Business Services","$1 to $5 million (USD)","-1"
"306",504,"Data Scientist","$95K-$119K (Glassdoor est.)",-1,"Sophinea","Chantilly, VA","-1","1 to 50 employees",-1,"Unknown","-1","-1","Unknown / Non-Applicable","-1"
"307",505,"Data Scientist","$95K-$119K (Glassdoor est.)",4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL","51 to 200 employees",1994,"Company - Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)","-1"
"308",506,"Data Scientist","$95K-$119K (Glassdoor est.)",3.5,"Blackstone Talent Group
3.5","San Francisco, CA","San Francisco, CA","51 to 200 employees",1998,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","-1"
"309",510,"Data Scientist","$212K-$331K (Glassdoor est.)",3.6,"Creative Circle
3.6","United States","Los Angeles, CA","201 to 500 employees",2002,"Company - Public","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","Aquent, 24 Seven Talent"
"310",512,"Senior Data Scientist","$212K-$331K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO","5001 to 10000 employees",-1,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","-1"
"311",513,"Data Scientist","$212K-$331K (Glassdoor est.)",4.7,"Sharpedge Solutions Inc
4.7","Seattle, WA","Lombard, IL","Unknown",-1,"Company - Private","Publishing","Media","Less than $1 million (USD)","-1"
"312",514,"Data Scientist","$212K-$331K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO","5001 to 10000 employees",-1,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","-1"
"313",515,"Data Scientist","$212K-$331K (Glassdoor est.)",3.6,"Alaka`ina Foundation Family of Companies
3.6","Fort Sam Houston, TX","Honolulu, HI","501 to 1000 employees",-1,"Government","-1","-1","Unknown / Non-Applicable","-1"
"314",517,"Data Scientist","$212K-$331K (Glassdoor est.)",2.7,"Hexagon US Federal
2.7","Lexington Park, MD","Chantilly, VA","51 to 200 employees",2010,"Company - Public","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","-1"
"315",520,"Data Scientist","$212K-$331K (Glassdoor est.)",4,"Comtech Global Inc
4.0","Washington, DC","Columbus, OH","51 to 200 employees",-1,"Company - Private","Health, Beauty, & Fitness","Consumer Services","$5 to $10 million (USD)","-1"
"316",521,"Data Scientist","$212K-$331K (Glassdoor est.)",3.8,"Aveshka, Inc.
3.8","Washington, DC","Arlington, VA","51 to 200 employees",2010,"Company - Public","IT Services","Information Technology","$10 to $25 million (USD)","-1"
"317",524,"Data Scientist","$212K-$331K (Glassdoor est.)",-1,"CompuForce","New York, NY","New York, NY","Unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"318",525,"Data Scientist","$212K-$331K (Glassdoor est.)",4.5,"Smith Hanley Associates
4.5","Washington, DC","New York, 061","1 to 50 employees",1980,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","Kforce, PageGroup, Robert Half"
"319",527,"Data Scientist","$212K-$331K (Glassdoor est.)",2.7,"1-800-Flowers
2.7","New York, NY","Carle Place, NY","1001 to 5000 employees",1976,"Company - Public","Wholesale","Business Services","$1 to $2 billion (USD)","-1"
"320",528,"Data Scientist","$212K-$331K (Glassdoor est.)",3.5,"Aptive
3.5","Washington, DC","Alexandria, VA","51 to 200 employees",2012,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","-1"
"321",530,"Data Scientist","$66K-$112K (Glassdoor est.)",3.6,"Powertek
3.6","Washington, DC","Rockville, MD","51 to 200 employees",2001,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1"
"322",531,"Data Scientist","$66K-$112K (Glassdoor est.)",5,"JCD Staffing
5.0","Washington, DC","Germantown, MD","1 to 50 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"323",532,"Data Scientist","$66K-$112K (Glassdoor est.)",3.1,"Bayside Solutions
3.1","Sunnyvale, CA","Pleasanton, CA","1 to 50 employees",2001,"Company - Private","Staffing & Outsourcing","Business Services","$1 to $5 million (USD)","-1"
"324",534,"Data Scientist","$66K-$112K (Glassdoor est.)",3.4,"MILVETS Systems Technology, Inc.
3.4","Patuxent, Anne Arundel, MD","Orlando, FL","51 to 200 employees",1986,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1"
"325",536,"Data Scientist","$66K-$112K (Glassdoor est.)",4.1,"Kforce
4.1","Fairfax, VA","Tampa, FL","10000+ employees",1966,"Company - Public","Staffing & Outsourcing","Business Services","$1 to $2 billion (USD)","-1"
"326",540,"Data Scientist","$66K-$112K (Glassdoor est.)",3.8,"AgreeYa Solutions
3.8","Thousand Oaks, CA","Folsom, CA","1001 to 5000 employees",1999,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","-1"
"327",541,"Data Scientist","$66K-$112K (Glassdoor est.)",3.7,"Carolina Power & Light Co
3.7","McLean, VA","Raleigh, NC","5001 to 10000 employees",1908,"Subsidiary or Business Segment","Energy","Oil, Gas, Energy & Utilities","Unknown / Non-Applicable","South Carolina Electric & Gas, Virginia Electric and Power"
"328",543,"Data Scientist","$66K-$112K (Glassdoor est.)",3.9,"Brillient
3.9","Silver Spring, MD","Reston, VA","501 to 1000 employees",2006,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1"
"329",545,"Data Scientist","$66K-$112K (Glassdoor est.)",2.9,"Xator Corporation
2.9","Washington, DC","Reston, VA","501 to 1000 employees",-1,"Contract","IT Services","Information Technology","$25 to $50 million (USD)","-1"
"330",546,"Data Scientist","$66K-$112K (Glassdoor est.)",4.6,"HAN IT Staffing Inc.
4.6","New York, NY","Totowa, NJ","51 to 200 employees",2012,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"331",547,"Data Scientist","$66K-$112K (Glassdoor est.)",3.4,"Infinitive Inc
3.4","McLean, VA","Cedar Rapids, IA","201 to 500 employees",1997,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","-1"
"332",550,"Data Scientist","$128K-$201K (Glassdoor est.)",4.3,"Lightspeed Systems
4.3","Austin, TX","Austin, TX","51 to 200 employees",1999,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","-1"
"333",551,"Senior Data Scientist","$128K-$201K (Glassdoor est.)",3.9,"Thumbtack
3.9","San Francisco, CA","San Francisco, CA","501 to 1000 employees",2009,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","-1"
"334",555,"Data Scientist","$128K-$201K (Glassdoor est.)",-1,"HireAi","San Francisco, CA","-1","-1",-1,"-1","-1","-1","-1","-1"
"335",557,"Data Scientist","$128K-$201K (Glassdoor est.)",3.3,"ICW Group
3.3","San Diego, CA","San Diego, CA","501 to 1000 employees",1972,"Company - Private","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","Liberty Mutual Insurance, EMPLOYERS, Travelers"
"336",559,"Data Scientist","$128K-$201K (Glassdoor est.)",4.5,"E3 Federal Solutions
4.5","Chantilly, VA","McLean, VA","501 to 1000 employees",2004,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","-1"
"337",560,"Data Engineer","$128K-$201K (Glassdoor est.)",4.5,"Kingfisher Systems
4.5","Falls Church, VA","Falls Church, VA","51 to 200 employees",2005,"Company - Private","Federal Agencies","Government","$25 to $50 million (USD)","-1"
"338",562,"Senior Data Scientist","$128K-$201K (Glassdoor est.)",3.1,"Group O
3.1","Chicago, IL","Milan, IL","1001 to 5000 employees",1974,"Company - Private","Staffing & Outsourcing","Business Services","$500 million to $1 billion (USD)","-1"
"339",567,"Machine Learning Engineer","$128K-$201K (Glassdoor est.)",3.9,"Temboo
3.9","New York, NY","New York, NY","1 to 50 employees",-1,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"340",568,"Data Scientist","$128K-$201K (Glassdoor est.)",-1,"Kibo","Philadelphia, PA","Marbella, Spain","Unknown",-1,"Company - Public","-1","-1","Unknown / Non-Applicable","-1"
"341",570,"Data Scientist","$138K-$158K (Glassdoor est.)",3.9,"Mars
3.9","United States","Mc Lean, VA","10000+ employees",1911,"Company - Private","Food & Beverage Manufacturing","Manufacturing","$10+ billion (USD)","-1"
"342",586,"Data Engineer","$138K-$158K (Glassdoor est.)",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 to 200 employees",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","-1"
"343",590,"Data Engineer","$138K-$158K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","McLean, VA","Westminster, CO","5001 to 10000 employees",-1,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","-1"
"344",592,"Senior Data Scientist","$80K-$132K (Glassdoor est.)",4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA","5001 to 10000 employees",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","-1"
"345",593,"Data Scientist","$80K-$132K (Glassdoor est.)",3.4,"USI
3.4","Southfield, MI","Saint Paul, MN","1001 to 5000 employees",1998,"Company - Private","Construction","Construction, Repair & Maintenance","$100 to $500 million (USD)","-1"
"346",594,"Data Scientist","$80K-$132K (Glassdoor est.)",3.9,"GSK
3.9","Collegeville, PA","Brentford, United Kingdom","10000+ employees",1830,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Pfizer, AstraZeneca, Merck"
"347",595,"Data Scientist","$80K-$132K (Glassdoor est.)",3.8,"CIA
3.8","Washington, DC","Langley, VA","Unknown",1947,"Government","Federal Agencies","Government","Unknown / Non-Applicable","-1"
"348",596,"Data Scientist","$80K-$132K (Glassdoor est.)",4.5,"Maven Wave Partners
4.5","Chicago, IL","Chicago, IL","201 to 500 employees",2008,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1"
"349",597,"Data Scientist","$80K-$132K (Glassdoor est.)",4.3,"Ovative Group
4.3","Minneapolis, MN","Minneapolis, MN","51 to 200 employees",2009,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","-1"
"350",598,"Data Scientist","$80K-$132K (Glassdoor est.)",3.6,"Kognetics
3.6","Gahanna, OH","New York, NY","1 to 50 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"351",599,"Data Scientist","$80K-$132K (Glassdoor est.)",2.9,"Envision Healthcare
2.9","Nashville, TN","Nashville, TN","10000+ employees",2005,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1"
"352",600,"Data Scientist","$80K-$132K (Glassdoor est.)",2.9,"Pragmatics, Inc.
2.9","United States","Reston, VA","201 to 500 employees",1985,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","-1"
"353",601,"Data Scientist","$80K-$132K (Glassdoor est.)",3.2,"ConsumerTrack
3.2","California","Los Angeles, CA","51 to 200 employees",2004,"Company - Private","Internet","Information Technology","$25 to $50 million (USD)","-1"
"354",604,"Data Scientist","$80K-$132K (Glassdoor est.)",3.5,"Crossover Health
3.5","San Clemente, CA","Aliso Viejo, CA","1 to 50 employees",2010,"Company - Private","Health Care Services & Hospitals","Health Care","$1 to $5 million (USD)","-1"
"355",605,"Data Scientist","$80K-$132K (Glassdoor est.)",4,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ","1 to 50 employees",-1,"Company - Private","Accounting","Accounting & Legal","Less than $1 million (USD)","-1"
"356",606,"Data Scientist","$80K-$132K (Glassdoor est.)",4.4,"Meridian Knowledge Solutions
4.4","Washington, DC","Reston, VA","51 to 200 employees",1997,"Subsidiary or Business Segment","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","-1"
"357",607,"Data Scientist","$80K-$132K (Glassdoor est.)",4.2,"UST Global
4.2","Atlanta, GA","Aliso Viejo, CA","10000+ employees",1999,"Company - Private","IT Services","Information Technology","$1 to $2 billion (USD)","Cognizant Technology Solutions, Infosys, Wipro"
"358",608,"Data Scientist","$80K-$132K (Glassdoor est.)",3.2,"IMG Systems
3.2","Plano, TX","Plano, TX","1 to 50 employees",-1,"Company - Private","Consulting","Business Services","$1 to $5 million (USD)","-1"
"359",609,"Data Scientist","$80K-$132K (Glassdoor est.)",3.4,"Trident Systems Inc
3.4","Fairfax, VA","Fairfax, VA","51 to 200 employees",1985,"Company - Private","Aerospace & Defense","Aerospace & Defense","$25 to $50 million (USD)","-1"
"360",610,"Data Scientist","$80K-$132K (Glassdoor est.)",4.7,"Tygart Technology, Inc
4.7","Washington, DC","Fairmont, WV","1 to 50 employees",-1,"Company - Private","-1","-1","$1 to $5 million (USD)","-1"
"361",612,"Senior Data Scientist","$87K-$141K (Glassdoor est.)",4.2,"ManTech
4.2","Alexandria, VA","Herndon, VA","5001 to 10000 employees",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","-1"
"362",613,"Data Scientist","$87K-$141K (Glassdoor est.)",-1,"GrainBridge, LLC","Omaha, NE","-1","-1",-1,"-1","-1","-1","-1","-1"
"363",614,"Data Scientist","$87K-$141K (Glassdoor est.)",3.2,"First Health Group
3.2","Wellesley, MA","Bethesda, MD","10000+ employees",1853,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Humana"
"364",615,"Data Scientist","$87K-$141K (Glassdoor est.)",-1,"Sprezzatura Management Consulting","Washington, VA","McLean, VA","Unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"365",616,"Data Scientist","$87K-$141K (Glassdoor est.)",2.8,"Progress Rail, A Caterpillar Company
2.8","Fort Worth, TX","Albertville, AL","1001 to 5000 employees",1983,"Subsidiary or Business Segment","Rail","Transportation & Logistics","$2 to $5 billion (USD)","-1"
"366",617,"Data Scientist","$87K-$141K (Glassdoor est.)",4.2,"UST Global
4.2","Atlanta, GA","Aliso Viejo, CA","10000+ employees",1999,"Company - Private","IT Services","Information Technology","$1 to $2 billion (USD)","Cognizant Technology Solutions, Infosys, Wipro"
"367",618,"Data Scientist","$87K-$141K (Glassdoor est.)",4.5,"Axiologic Solutions
4.5","Alexandria, VA","Fairfax, VA","51 to 200 employees",2009,"Company - Private","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","-1"
"368",619,"Data Scientist","$87K-$141K (Glassdoor est.)",3,"Indigo Slate
3.0","Bellevue, WA","Bellevue, WA","51 to 200 employees",2006,"Company - Private","Consulting","Business Services","$10 to $25 million (USD)","-1"
"369",620,"Data Scientist","$87K-$141K (Glassdoor est.)",3.3,"Cubic
3.3","United States","San Diego, CA","5001 to 10000 employees",1951,"Company - Public","Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)","Accenture, Northrop Grumman, Xerox"
"370",621,"Data Scientist","$87K-$141K (Glassdoor est.)",4,"Advanced Bio-Logic Solutions Corp
4.0","Thousand Oaks, CA","Westlake Village, CA","1 to 50 employees",-1,"Company - Private","-1","-1","Less than $1 million (USD)","-1"
"371",622,"Data Engineer","$87K-$141K (Glassdoor est.)",3.5,"Alignment Healthcare
3.5","Orange, CA","Orange, CA","501 to 1000 employees",2013,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1"
"372",623,"Data Scientist","$87K-$141K (Glassdoor est.)",3.5,"WGSN
3.5","Baltimore, MD","New York, NY","1 to 50 employees",1998,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1"
"373",624,"Data Scientist","$87K-$141K (Glassdoor est.)",3.6,"ISYS Technologies, Inc.
3.6","Herndon, VA","Littleton, CO","51 to 200 employees",1990,"Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","-1"
"374",625,"Data Scientist","$87K-$141K (Glassdoor est.)",3,"TransVoyant
3.0","Alexandria, VA","Alexandria, VA","51 to 200 employees",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1"
"375",627,"Data Scientist","$87K-$141K (Glassdoor est.)",4.6,"Murray Resources
4.6","The Woodlands, TX","Houston, TX","1 to 50 employees",1988,"Company - Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)","-1"
"376",628,"Data Scientist","$87K-$141K (Glassdoor est.)",4.3,"Geotab
4.3","Oakville, CA","Oakville, Canada","1001 to 5000 employees",2000,"Company - Private","Computer Hardware & Software","Information Technology","$100 to $500 million (USD)","-1"
"377",629,"Data Scientist","$87K-$141K (Glassdoor est.)",4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL","51 to 200 employees",1994,"Company - Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)","-1"
"378",630,"Data Scientist","$87K-$141K (Glassdoor est.)",3.7,"EGlobalTech
3.7","Arlington, VA","Vienna, VA","201 to 500 employees",2004,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"379",632,"Data Scientist","$92K-$155K (Glassdoor est.)",4.9,"Avlino
4.9","New Jersey","Holmdel, NJ","1 to 50 employees",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Less than $1 million (USD)","-1"
"380",633,"Data Scientist","$92K-$155K (Glassdoor est.)",3,"Central Business Solutions, Inc
3.0","Seattle, WA","Fremont, CA","51 to 200 employees",-1,"Company - Private","Consulting","Business Services","$5 to $10 million (USD)","-1"
"381",634,"Data Scientist","$92K-$155K (Glassdoor est.)",2.5,"KeHE Distributors
2.5","Naperville, IL","Naperville, IL","5001 to 10000 employees",1954,"Company - Private","Wholesale","Business Services","Unknown / Non-Applicable","United Natural Foods, US Foods, DPI Specialty Foods"
"382",635,"Data Scientist","$92K-$155K (Glassdoor est.)",3.5,"Blackstone Talent Group
3.5","San Francisco, CA","San Francisco, CA","51 to 200 employees",1998,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","-1"
"383",637,"Data Scientist","$92K-$155K (Glassdoor est.)",-1,"Sophinea","Chantilly, VA","-1","1 to 50 employees",-1,"Unknown","-1","-1","Unknown / Non-Applicable","-1"
"384",638,"Senior Data Scientist","$92K-$155K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO","5001 to 10000 employees",-1,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","-1"
"385",639,"Data Scientist","$92K-$155K (Glassdoor est.)",3,"Moxie Software
3.0","Bellevue, WA","San Bruno, CA","51 to 200 employees",1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","LivePerson, Salesforce, SAP"
"386",641,"Data Scientist","$92K-$155K (Glassdoor est.)",4.7,"Unicom Technologies INC
4.7","Chicago, IL","Naperville, IL","51 to 200 employees",-1,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"387",642,"Data Engineer","$92K-$155K (Glassdoor est.)",3.3,"Americo Life
3.3","Kansas City, MO","Kansas City, MO","201 to 500 employees",1992,"Company - Private","Insurance Carriers","Insurance","$100 to $500 million (USD)","-1"
"388",643,"Data Scientist","$92K-$155K (Glassdoor est.)",3.3,"Tokio Marine HCC
3.3","Houston, TX","Houston, TX","1001 to 5000 employees",1974,"Company - Private","Insurance Carriers","Insurance","Unknown / Non-Applicable","Zurich Insurance, AXA XL, Allianz"
"389",644,"Data Scientist","$92K-$155K (Glassdoor est.)",3.5,"CACI International
3.5","Chantilly, VA","Arlington, VA","10000+ employees",1962,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","CSC, ManTech, SAIC"
"390",646,"Data Scientist","$92K-$155K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO","5001 to 10000 employees",-1,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","-1"
"391",648,"Data Scientist","$92K-$155K (Glassdoor est.)",4.7,"Compass Consulting Group
4.7","Thousand Oaks, CA","Danville, CA","51 to 200 employees",2008,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","-1"
"392",652,"Senior Data Scientist","$105K-$167K (Glassdoor est.)",3.8,"GutCheck
3.8","Denver, CO","Denver, CO","51 to 200 employees",2009,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","Nielsen, Zappi, SurveyMonkey"
"393",654,"Data Scientist","$105K-$167K (Glassdoor est.)",2.7,"Hexagon US Federal
2.7","Lexington Park, MD","Chantilly, VA","51 to 200 employees",2010,"Company - Public","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","-1"
"394",655,"Data Scientist","$105K-$167K (Glassdoor est.)",4,"Comtech Global Inc
4.0","Washington, DC","Columbus, OH","51 to 200 employees",-1,"Company - Private","Health, Beauty, & Fitness","Consumer Services","$5 to $10 million (USD)","-1"
"395",656,"Data Scientist","$105K-$167K (Glassdoor est.)",-1,"Berico Technologies","Fort Belvoir, VA","-1","-1",-1,"-1","-1","-1","-1","-1"
"396",657,"Data Scientist","$105K-$167K (Glassdoor est.)",-1,"Kehe Food Distributors","Naperville, IL","-1","-1",-1,"-1","-1","-1","-1","-1"
"397",658,"Data Scientist","$105K-$167K (Glassdoor est.)",3.8,"Aveshka, Inc.
3.8","Washington, DC","Arlington, VA","51 to 200 employees",2010,"Company - Public","IT Services","Information Technology","$10 to $25 million (USD)","-1"
"398",659,"Data Scientist","$105K-$167K (Glassdoor est.)",3.2,"Perspecta
3.2","Adelphi, MD","Chantilly, VA","10000+ employees",2018,"Company - Public","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","-1"
"399",660,"Data Scientist","$105K-$167K (Glassdoor est.)",-1,"Pactera Edge","Redmond, WA","-1","-1",-1,"-1","-1","-1","-1","-1"
"400",661,"Data Scientist","$105K-$167K (Glassdoor est.)",3.6,"Qurate Retail Group
3.6","West Chester, PA","West Chester, PA","10000+ employees",-1,"Company - Public","Other Retail Stores","Retail","Unknown / Non-Applicable","-1"
"401",662,"Data Scientist","$105K-$167K (Glassdoor est.)",4.4,"SolutionIT, Inc.
4.4","Edison, NJ","Wilmington, MA","51 to 200 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"402",663,"Data Scientist","$105K-$167K (Glassdoor est.)",4.1,"A-Line Staffing Solutions
4.1","Durham, NC","Utica, MI","501 to 1000 employees",2004,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","-1"
"403",664,"Data Scientist","$105K-$167K (Glassdoor est.)",-1,"Clear Ridge Defense","Quantico, VA","Baltimore, MD","1 to 50 employees",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1"
"404",665,"Data Scientist","$105K-$167K (Glassdoor est.)",3.8,"Criterion Systems, Inc.
3.8","Vienna, VA","Vienna, VA","201 to 500 employees",2005,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","-1"
"405",666,"Data Scientist","$105K-$167K (Glassdoor est.)",4,"Foundation Medicine
4.0","Boston, MA","Cambridge, MA","1001 to 5000 employees",2010,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","Genomic Health, Myriad Genetics, The Broad Institute"
"406",667,"Data Scientist","$105K-$167K (Glassdoor est.)",3.6,"TRANZACT
3.6","Fort Lee, NJ","Fort Lee, NJ","1001 to 5000 employees",1989,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1"
"407",668,"Data Scientist","$105K-$167K (Glassdoor est.)",-1,"JKGT","San Francisco, CA","-1","-1",-1,"-1","-1","-1","-1","-1"
"408",669,"Data Scientist","$105K-$167K (Glassdoor est.)",-1,"AccessHope","Irwindale, CA","-1","-1",-1,"-1","-1","-1","-1","-1"
"409",670,"Data Scientist","$105K-$167K (Glassdoor est.)",5,"ChaTeck Incorporated
5.0","San Francisco, CA","Santa Clara, CA","1 to 50 employees",-1,"Company - Private","Advertising & Marketing","Business Services","$1 to $5 million (USD)","-1"
"410",671,"Data Scientist","$105K-$167K (Glassdoor est.)",2.7,"1-800-Flowers
2.7","New York, NY","Carle Place, NY","1001 to 5000 employees",1976,"Company - Public","Wholesale","Business Services","$1 to $2 billion (USD)","-1"
